run_tag,symbol,time,dir,entry,exit,vol,pnl,risk_money,atr_at_entry,exit_reason
BS75va2,BTCUSDm,2025.01.06 10:46:20,1,0.00,98679.83,0.01,-7.80,7.80,520.13,sl
BS75va2,BTCUSDm,2025.02.09 22:40:40,-1,0.00,95999.20,0.01,-8.23,8.23,549.00,sl
BS75va2,BTCUSDm,2025.02.17 00:18:00,-1,96118.31,96351.86,0.01,-2.34,5.62,374.64,dd_kill
BS75va2,BTCUSDm,2025.02.17 00:18:00,-1,0.00,96351.86,0.01,-2.34,5.62,374.64,dd_kill
BS75va2,BTCUSDm,2025.02.25 11:45:40,-1,0.00,88965.30,0.01,57.37,8.54,569.14,sl
BS75va2,BTCUSDm,2025.03.10 00:08:40,-1,0.00,81423.76,0.01,34.49,5.80,386.72,sl
BS75va2,BTCUSDm,2025.03.16 13:04:40,-1,0.00,83025.78,0.01,-5.59,5.58,372.24,sl
BS75va2,BTCUSDm,2025.03.18 15:40:20,-1,0.00,82242.15,0.01,-8.72,8.72,581.24,sl
BS75va2,BTCUSDm,2025.03.21 14:22:40,-1,0.00,84157.01,0.01,-7.05,7.05,470.00,sl
BS75va2,BTCUSDm,2025.03.26 20:08:40,-1,0.00,87034.22,0.01,-8.01,8.01,534.07,sl
BS75va2,BTCUSDm,2025.03.30 02:38:20,-1,0.00,83341.45,0.01,23.60,7.05,469.71,sl
BS75va2,BTCUSDm,2025.04.03 21:58:40,-1,0.00,82779.91,0.01,-9.15,9.15,610.06,sl
BS75va2,BTCUSDm,2025.04.06 23:46:40,-1,0.00,78480.34,0.01,34.39,5.78,385.05,sl
BS75va2,BTCUSDm,2025.04.15 11:19:40,1,0.00,85355.92,0.01,-6.70,6.70,446.41,sl
BS75va2,BTCUSDm,2025.04.21 17:02:40,1,0.00,86777.80,0.01,1.63,7.06,470.78,sl
BS75va2,BTCUSDm,2025.04.23 15:03:20,1,0.00,92512.17,0.01,34.79,8.26,550.46,sl
BS75va2,BTCUSDm,2025.04.25 17:48:00,1,0.00,94495.54,0.01,-10.14,10.15,676.57,sl
BS75va2,BTCUSDm,2025.05.03 03:19:20,1,0.00,96351.67,0.01,7.51,6.31,420.91,sl
BS75va2,BTCUSDm,2025.05.10 23:00:00,1,96281.08,103547.36,0.01,72.66,9.13,608.47,time_exit
BS75va2,BTCUSDm,2025.05.10 23:00:00,1,0.00,103547.36,0.01,71.70,9.13,608.47,time_exit
BS75va2,BTCUSDm,2025.05.11 00:27:40,1,0.00,104113.09,0.01,-6.72,6.72,448.11,sl
BS75va2,BTCUSDm,2025.05.18 18:00:40,1,0.00,104753.34,0.02,0.05,9.65,321.75,sl
BS75va2,BTCUSDm,2025.05.19 00:46:20,1,0.00,105188.67,0.01,-12.85,12.85,856.58,sl
BS75va2,BTCUSDm,2025.05.21 08:20:40,1,0.00,106399.30,0.01,-13.71,13.71,913.69,sl
BS75va2,BTCUSDm,2025.05.21 17:25:40,1,0.00,107855.81,0.01,-11.83,11.83,788.67,sl
BS75va2,BTCUSDm,2025.05.27 01:15:40,1,0.00,108478.04,0.01,-10.22,10.06,670.65,sl
