run_tag,symbol,time,dir,entry,exit,vol,pnl,risk_money,atr_at_entry,exit_reason
BS75tr2,BTCUSDm,2020.03.10 11:27:20,-1,0.00,8095.69,0.06,-12.33,12.33,136.97,sl
BS75tr2,BTCUSDm,2020.03.11 18:52:40,-1,0.00,7776.47,0.19,-20.46,20.46,71.79,sl
BS75tr2,BTCUSDm,2020.03.12 10:49:40,-1,0.00,6229.99,0.06,76.02,11.90,132.25,sl
BS75tr2,BTCUSDm,2020.03.13 02:30:40,-1,0.00,4788.53,0.03,42.55,10.78,239.45,sl
BS75tr2,BTCUSDm,2020.03.13 02:39:40,-1,0.00,5374.06,0.02,-11.08,11.09,369.50,sl
BS75tr2,BTCUSDm,2020.03.16 16:00:40,-1,0.00,5162.07,0.04,-5.67,12.28,204.67,sl
BS75tr2,BTCUSDm,2020.03.30 05:01:40,-1,0.00,6121.12,0.32,78.49,38.27,79.73,sl
BS75tr2,BTCUSDm,2020.04.01 20:35:40,-1,0.00,6314.07,0.37,-33.60,33.59,60.53,sl
BS75tr2,BTCUSDm,2020.04.07 20:02:40,1,0.00,7208.88,0.15,-18.11,18.11,80.47,sl
BS75tr2,BTCUSDm,2020.04.13 21:20:40,-1,0.00,6884.26,0.12,-19.64,19.64,109.09,sl
BS75tr2,BTCUSDm,2020.04.16 06:21:40,-1,0.00,6690.76,0.25,-18.05,21.81,58.16,sl
BS75tr2,BTCUSDm,2020.04.18 16:31:40,1,0.00,7178.95,0.45,-30.76,30.76,45.58,sl
BS75tr2,BTCUSDm,2020.04.23 06:00:40,1,0.00,7093.16,0.38,-32.95,32.95,57.82,sl
BS75tr2,BTCUSDm,2020.04.23 15:12:40,1,0.00,7470.73,0.24,53.16,21.52,59.78,sl
BS75tr2,BTCUSDm,2020.04.27 15:13:00,1,7470.65,7669.05,0.10,19.84,13.60,90.67,time_exit
BS75tr2,BTCUSDm,2020.04.27 15:13:00,1,0.00,7669.05,0.10,13.40,13.60,90.67,time_exit
BS75tr2,BTCUSDm,2020.04.29 16:47:40,1,0.00,8566.23,0.41,319.87,26.68,43.38,sl
BS75tr2,BTCUSDm,2020.04.30 07:20:40,1,0.00,9057.31,0.15,68.84,24.27,107.86,sl
BS75tr2,BTCUSDm,2020.05.03 06:10:40,1,0.00,9010.13,0.22,-25.93,25.93,78.59,sl
BS75tr2,BTCUSDm,2020.05.06 23:56:40,1,0.00,9107.66,0.42,-52.82,52.83,83.85,sl
BS75tr2,BTCUSDm,2020.05.09 06:55:40,1,0.00,9661.01,0.18,20.07,28.90,107.04,sl
BS75tr2,BTCUSDm,2020.05.14 10:17:40,1,0.00,9640.55,0.36,174.84,44.16,81.77,sl
BS75tr2,BTCUSDm,2020.05.15 02:32:40,1,0.00,9459.79,0.16,-30.30,27.73,115.55,sl
BS75tr2,BTCUSDm,2020.05.17 22:01:40,1,0.00,9626.60,0.42,-55.84,55.84,88.63,sl
BS75tr2,BTCUSDm,2020.05.18 06:10:40,1,0.00,9725.10,0.32,-53.29,53.28,111.01,sl
BS75tr2,BTCUSDm,2020.05.29 10:45:40,1,0.00,9387.72,0.54,127.29,51.68,63.81,sl
BS75tr2,BTCUSDm,2020.05.31 02:00:40,1,0.00,9610.57,0.49,-52.08,52.08,70.86,sl
BS75tr2,BTCUSDm,2020.06.02 00:51:40,1,0.00,10138.56,0.37,142.20,33.59,60.52,sl
BS75tr2,BTCUSDm,2020.06.02 14:46:40,1,0.00,9984.96,0.13,-20.25,20.24,103.81,sl
BS75tr2,BTCUSDm,2020.06.04 18:58:40,1,0.00,9703.29,0.25,-29.69,29.69,79.17,sl
BS75tr2,BTCUSDm,2020.06.09 00:23:40,1,0.00,9631.14,0.28,-41.38,36.88,87.80,sl
BS75tr2,BTCUSDm,2020.06.15 13:54:40,-1,0.00,9161.51,0.29,22.20,30.24,69.52,sl
BS75tr2,BTCUSDm,2020.06.16 06:45:40,1,0.00,9449.64,0.17,-21.01,21.01,82.40,sl
BS75tr2,BTCUSDm,2020.06.25 08:00:40,-1,0.00,9190.19,0.21,-24.60,24.60,78.10,sl
BS75tr2,BTCUSDm,2020.06.27 21:56:40,-1,0.00,9021.08,0.19,-18.81,18.81,66.00,sl
BS75tr2,BTCUSDm,2020.07.02 21:49:40,-1,0.00,9112.78,0.64,-47.85,47.85,49.84,sl
BS75tr2,BTCUSDm,2020.07.05 15:05:40,-1,0.00,9063.68,0.84,-41.52,41.52,32.95,sl
BS75tr2,BTCUSDm,2020.07.10 15:17:40,-1,0.00,9206.16,0.24,-17.52,17.51,48.65,sl
BS75tr2,BTCUSDm,2020.07.16 15:26:40,-1,0.00,9113.59,0.53,-31.77,31.77,39.96,sl
BS75tr2,BTCUSDm,2020.07.22 23:19:40,1,0.00,9446.74,0.34,-20.71,20.71,40.60,sl
BS75tr2,BTCUSDm,2020.07.24 01:50:40,1,0.00,9558.35,0.23,-20.42,16.72,48.47,sl
BS75tr2,BTCUSDm,2020.07.26 10:12:40,1,0.00,9999.28,0.27,79.85,17.08,42.18,sl
BS75tr2,BTCUSDm,2020.07.26 12:31:40,1,0.00,9893.51,0.24,-17.21,17.21,47.80,sl
BS75tr2,BTCUSDm,2020.07.27 08:07:40,1,0.00,10124.97,0.13,-16.70,16.71,85.68,sl
BS75tr2,BTCUSDm,2020.07.27 23:18:40,1,0.00,10969.02,0.09,54.72,15.88,117.64,sl
BS75tr2,BTCUSDm,2020.07.28 09:49:40,1,0.00,10711.25,0.06,-17.33,16.37,181.84,sl
BS75tr2,BTCUSDm,2020.07.31 16:28:40,1,0.00,11232.15,0.14,-16.85,16.85,80.23,sl
BS75tr2,BTCUSDm,2020.08.02 04:38:40,1,0.00,11686.26,0.10,8.03,16.82,112.16,sl
BS75tr2,BTCUSDm,2020.08.02 04:39:40,1,0.00,11179.85,0.16,-26.02,26.02,108.41,sl
BS75tr2,BTCUSDm,2020.08.06 21:49:20,1,0.00,11633.20,0.30,17.32,33.18,73.73,sl
BS75tr2,BTCUSDm,2020.08.10 10:29:40,1,0.00,11810.31,0.40,-15.30,43.04,71.74,sl
BS75tr2,BTCUSDm,2020.08.17 13:27:40,1,0.00,11783.62,0.15,3.62,25.35,112.69,sl
BS75tr2,BTCUSDm,2020.08.18 13:45:20,1,0.00,12140.42,0.26,0.01,35.66,91.44,sl
BS75tr2,BTCUSDm,2020.08.25 02:51:40,1,0.00,11686.25,0.66,-57.59,46.98,47.45,sl
BS75tr2,BTCUSDm,2020.09.01 00:21:40,1,0.00,11601.97,0.32,-11.03,23.87,49.73,sl
BS75tr2,BTCUSDm,2020.09.02 06:08:40,1,0.00,11820.18,0.27,2.19,26.97,66.59,sl
BS75tr2,BTCUSDm,2020.09.04 09:48:20,-1,0.00,10480.38,0.05,-16.37,16.37,218.27,sl
BS75tr2,BTCUSDm,2020.09.14 02:13:40,-1,0.00,10358.00,0.43,-45.31,45.31,70.25,sl
