row_id,window,sample_type,timestamp,source_audit_file,source_ticket,row_status,bar_shift,usd_open,usd_high,usd_low,usd_close,usd_tr,ema48,residual,sigma48,z_score,atr14,atr_p20,atr_p80,xau_bar_time,xau_open,xau_close,xau_return,v1_candidate,v3_candidate,direction,atr_regime_pass,xau_filter_pass
WINTER_C_12,WINTER,candidate,2023.01.13 21:30:00,,,PASS,580,127.7800000000,127.8930000000,127.7800000000,127.8570000000,0.1140000000,128.5223461183,-0.6653461183,0.2373985748,-2.8026542234,0.2111428571,0.1697142857,0.2900714286,2023.01.13 21:30:00,1919.9480000000,1920.2510000000,0.0001578168,1,1,long,1,0
AUDIT_WINTER_13,WINTER,audit_bridge,2023.01.16 03:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,13,PASS,569,127.3670000000,127.4590000000,127.3250000000,127.4420000000,0.1340000000,128.2185913361,-0.7765913361,0.2695253058,-2.8813299508,0.2271428571,0.1680000000,0.2900714286,2023.01.16 03:00:00,1928.3620000000,1924.7850000000,-0.0018549422,1,1,long,1,1
AUDIT_WINTER_15,WINTER,audit_bridge,2023.01.17 07:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,15,PASS,513,128.9200000000,129.0220000000,128.8020000000,128.8780000000,0.2200000000,128.5413331054,0.3366668946,0.1734628054,1.9408592738,0.2340000000,0.1792857143,0.2957857143,2023.01.17 07:00:00,1907.2330000000,1908.5320000000,0.0006810914,1,0,short,1,1
WINTER_C_13,WINTER,candidate,2023.01.17 10:00:00,,,PASS,507,128.7830000000,128.9720000000,128.6310000000,128.9440000000,0.3410000000,128.5807276318,0.3632723682,0.1488039405,2.4412819106,0.2338571429,0.1812857143,0.2957857143,2023.01.17 10:00:00,1906.5220000000,1904.7500000000,-0.0009294411,1,1,short,1,0
WINTER_K_05,WINTER,control,2023.01.17 18:30:00,,,PASS,490,128.2660000000,128.4080000000,128.2630000000,128.3940000000,0.1450000000,128.4998593864,-0.1058593864,0.2329049343,-0.4545175767,0.2630714286,0.1819285714,0.2916428571,2023.01.17 18:30:00,1907.1810000000,1905.5250000000,-0.0008682972,0,0,long,1,1
WINTER_C_14,WINTER,candidate,2023.01.18 14:00:00,,,PASS,451,128.1220000000,128.2220000000,127.5630000000,127.7280000000,0.6590000000,129.1856539987,-1.4576539987,0.9398879717,-1.5508805757,0.4605714286,0.1817857143,0.2942142857,2023.01.18 14:00:00,1921.3350000000,1922.6020000000,0.0006594373,1,0,long,0,0
WINTER_K_06,WINTER,control,2023.01.19 13:30:00,,,PASS,404,128.4160000000,128.8130000000,128.3550000000,128.3820000000,0.4580000000,128.5022279083,-0.1202279083,0.3309187711,-0.3633154682,0.2356428571,0.1817857143,0.2988571429,2023.01.19 13:30:00,1912.0470000000,1913.1580000000,0.0005810527,0,0,long,1,0
AUDIT_WINTER_17,WINTER,audit_bridge,2023.01.20 06:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,17,PASS,371,129.1700000000,129.1810000000,129.0210000000,129.0880000000,0.1600000000,128.6443010398,0.4436989602,0.2687125196,1.6512031552,0.1770714286,0.1757857143,0.2934285714,2023.01.20 06:00:00,1927.9010000000,1928.1040000000,0.0001052959,1,0,short,1,1
WINTER_C_15,WINTER,candidate,2023.01.20 13:00:00,,,PASS,357,130.1090000000,130.2010000000,130.0360000000,130.1490000000,0.1650000000,129.0567528215,1.0922471785,0.3559220055,3.0687823780,0.2571428571,0.1778571429,0.2934285714,2023.01.20 13:00:00,1928.6620000000,1929.1130000000,0.0002338409,1,1,short,1,1
AUDIT_WINTER_19,WINTER,audit_bridge,2023.01.23 15:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,19,PASS,305,130.6260000000,130.7950000000,130.5530000000,130.5630000000,0.2420000000,129.8672471877,0.6957528123,0.3049625702,2.2814367410,0.2377857143,0.1774285714,0.2847857143,2023.01.23 15:00:00,1916.6810000000,1917.8580000000,0.0006140824,1,1,short,1,1
WINTER_C_16,WINTER,candidate,2023.01.23 17:30:00,,,PASS,300,130.6330000000,130.6910000000,130.6010000000,130.6410000000,0.0900000000,130.0126320102,0.6283679898,0.3176350373,1.9782703919,0.2198571429,0.1774285714,0.2847857143,2023.01.23 17:30:00,1921.1000000000,1923.8210000000,0.0014163760,1,0,short,1,1
WINTER_K_07,WINTER,control,2023.01.24 00:30:00,,,PASS,286,130.5040000000,130.5050000000,130.2570000000,130.3860000000,0.2480000000,130.2663064481,0.1196935519,0.3004438256,0.3983891219,0.1242142857,0.1754285714,0.2847857143,2023.01.24 00:30:00,1931.9470000000,1930.7700000000,-0.0006092300,0,0,short,0,0
AUDIT_WINTER_21,WINTER,audit_bridge,2023.01.25 09:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,21,PASS,220,130.0340000000,130.0340000000,129.8010000000,129.8450000000,0.2360000000,130.2447013302,-0.3997013302,0.1816748048,-2.2000922513,0.1797142857,0.1656428571,0.2895714286,2023.01.25 09:30:00,1929.6630000000,1927.8720000000,-0.0009281413,1,1,long,1,1
WINTER_C_17,WINTER,candidate,2023.01.25 14:00:00,,,PASS,211,129.9560000000,129.9990000000,129.6740000000,129.7080000000,0.3250000000,130.1069331077,-0.3989331077,0.2399364201,-1.6626617487,0.2215000000,0.1676428571,0.2895714286,2023.01.25 14:00:00,1922.1780000000,1927.8650000000,0.0029586230,1,0,long,1,0
WINTER_K_08,WINTER,control,2023.01.26 02:00:00,,,PASS,187,129.2100000000,129.4170000000,129.1380000000,129.3910000000,0.2790000000,129.6956436737,-0.3046436737,0.2619477427,-1.1629940784,0.1529285714,0.1672142857,0.2895714286,2023.01.26 02:00:00,1945.5410000000,1944.9680000000,-0.0002945196,0,0,long,0,1
AUDIT_WINTER_23,WINTER,audit_bridge,2023.01.26 04:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,23,PASS,183,129.3080000000,129.3180000000,129.0200000000,129.0650000000,0.2980000000,129.6284171646,-0.5634171646,0.2333881954,-2.4140773856,0.1780714286,0.1667857143,0.2895714286,2023.01.26 04:00:00,1947.6750000000,1946.6280000000,-0.0005375640,1,1,long,1,1
WINTER_C_18,WINTER,candidate,2023.01.26 09:00:00,,,PASS,173,129.8070000000,129.9800000000,129.7350000000,129.9690000000,0.2450000000,129.5990646858,0.3699353142,0.1693594444,2.1843205475,0.2253571429,0.1680714286,0.2895714286,2023.01.26 09:00:00,1941.9410000000,1936.0800000000,-0.0030181144,1,1,short,1,0
WINTER_K_09,WINTER,control,2023.01.27 19:30:00,,,PASS,104,129.9100000000,129.9360000000,129.8960000000,129.9010000000,0.0400000000,129.9058974089,-0.0048974089,0.1532679397,-0.0319532507,0.1502142857,0.1618571429,0.2752142857,2023.01.27 19:30:00,1931.5760000000,1929.8860000000,-0.0008749332,0,0,long,0,1
AUDIT_WINTER_25,WINTER,audit_bridge,2023.01.30 05:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,25,PASS,85,129.4770000000,129.6700000000,129.4030000000,129.6280000000,0.2670000000,129.8898894738,-0.2618894738,0.1382832059,-1.8938631926,0.2119285714,0.1562142857,0.2660714286,2023.01.30 05:00:00,1933.3810000000,1932.4760000000,-0.0004680919,1,0,long,1,1
WINTER_C_19,WINTER,candidate,2023.01.30 06:30:00,,,PASS,82,129.4850000000,129.6440000000,129.4570000000,129.5880000000,0.1870000000,129.8522192865,-0.2642192865,0.1551581769,-1.7029027524,0.2267142857,0.1562142857,0.2645714286,2023.01.30 06:30:00,1931.3790000000,1930.9300000000,-0.0002324764,1,0,long,1,1
WINTER_C_20,WINTER,candidate,2023.01.31 14:30:00,,,PASS,18,129.8260000000,129.9700000000,129.7660000000,129.8400000000,0.2040000000,130.2258423558,-0.3858423558,0.1861887638,-2.0723181570,0.1767142857,0.1490000000,0.2529285714,2023.01.31 14:30:00,1922.9070000000,1924.7110000000,0.0009381629,1,1,long,1,0
WINTER_K_10,WINTER,control,2023.01.31 23:30:00,,,PASS,0,130.0450000000,130.1240000000,130.0300000000,130.1100000000,0.0940000000,130.1743275886,-0.0643275886,0.1464827984,-0.4391477313,0.0866428571,0.1471428571,0.2497142857,2023.01.31 23:30:00,1927.9550000000,1927.3360000000,-0.0003210656,0,0,long,0,1
