month,requested_from,requested_to,parser_valid,parser_invalid_reason,probe_valid,invalid_reason,finalization_event,JPY_M30_bars,XAU_M30_bars,exact_intersection,info_availability_ratio,common_session_alignment_ratio,GateA_status,GateB_status,jpy_dup,xau_dup,jpy_non_monotonic,xau_non_monotonic,outside_requested_month,methodA_jpy_count,methodB_jpy_count,methodA_xau_count,methodB_xau_count,methodA_methodB_jpy_equal,methodA_methodB_xau_equal,journal_jpy_bars,journal_minus_filtered,first_jpy,last_jpy,first_xau,last_xau,journal_reconciliation,month_engineering_status,month_data_status,month_pass,tester_log_path,check_failures
2020-10,2020.10.01,2020.11.01,1,,1,,OnTester,1054,1012,1012,96.0152,100.0000,PASS,PASS,0,0,0,0,0,1054,1054,1012,1012,1,1,1054,0,2020.10.01 00:00,2020.10.30 20:30,2020.10.01 00:00,2020.10.30 20:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2020-11,2020.11.01,2020.12.01,1,,1,,OnTester,1017,959,959,94.2970,100.0000,PASS,PASS,0,0,0,0,0,1017,1017,959,959,1,1,1017,0,2020.11.01 00:00,2020.11.30 23:30,2020.11.01 00:00,2020.11.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2020-12,2020.12.01,2021.01.01,1,,1,,OnTester,1056,998,998,94.5076,100.0000,PASS,PASS,0,0,0,0,0,1056,1056,998,998,1,1,1056,0,2020.12.01 00:00,2020.12.31 21:30,2020.12.01 00:00,2020.12.31 17:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2021-01,2021.01.01,2021.02.01,1,,1,,OnTester,969,919,919,94.8400,100.0000,PASS,PASS,0,0,0,0,0,969,969,919,919,1,1,969,0,2021.01.03 00:00,2021.01.31 23:30,2021.01.03 00:00,2021.01.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2021-02,2021.02.01,2021.03.01,1,,1,,OnTester,964,916,916,95.0207,100.0000,PASS,PASS,0,0,0,0,0,964,964,916,916,1,1,964,0,2021.02.01 00:00,2021.02.28 23:30,2021.02.01 00:00,2021.02.28 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2021-03,2021.03.01,2021.04.01,1,,1,,OnTester,1110,1064,1064,95.8559,100.0000,PASS,PASS,0,0,0,0,0,1110,1110,1064,1064,1,1,1110,0,2021.03.01 00:00,2021.03.31 23:30,2021.03.01 00:00,2021.03.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2021-04,2021.04.01,2021.05.01,1,,1,,OnTester,1054,966,966,91.6509,100.0000,PASS,PASS,0,0,0,0,0,1054,1054,966,966,1,1,1054,0,2021.04.01 00:00,2021.04.30 20:30,2021.04.01 00:00,2021.04.30 20:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2021-05,2021.05.01,2021.06.01,1,,1,,OnTester,1019,968,968,94.9951,100.0000,PASS,PASS,0,0,0,0,0,1019,1019,968,968,1,1,1019,0,2021.05.02 00:00,2021.05.31 23:30,2021.05.02 00:00,2021.05.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2021-06,2021.06.01,2021.07.01,1,,1,,OnTester,1060,1016,1016,95.8491,100.0000,PASS,PASS,0,0,0,0,0,1060,1060,1016,1016,1,1,1060,0,2021.06.01 00:00,2021.06.30 23:30,2021.06.01 00:00,2021.06.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2021-07,2021.07.01,2021.08.01,1,,1,,OnTester,1054,1004,1004,95.2562,100.0000,PASS,PASS,0,0,0,0,0,1054,1054,1004,1004,1,1,1054,0,2021.07.01 00:00,2021.07.30 20:30,2021.07.01 00:00,2021.07.30 20:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
